plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
515440.2569307836,0.0,True,1757818.1523242635,True,0.0,18886207.333712813,True,0.0,True
40890.904338741944,0.0,True,1621289.4358789874,True,0.0,11716258.877117263,True,0.0,True
319319.08617215336,0.0,True,2209710.6653132103,True,0.0,27496008.656497102,True,0.0,True
0.0,32009.317495631105,False,3731208.049609892,True,0.0,81682444.35926025,True,0.0,False
47904.68193906289,0.0,True,1541149.830378421,True,0.0,29954719.750799295,True,0.0,True
105501.94570009335,0.0,True,3187352.47541355,True,0.0,39590194.13636519,True,0.0,True
12168.680892394928,0.0,True,4281540.822756134,True,0.0,87627444.39104623,True,0.0,True
193259.02741250774,0.0,True,1291904.7308608368,True,0.0,23216381.678289194,True,0.0,True
96208.46139504029,0.0,True,4183801.769221226,True,0.0,226963299.60524288,True,0.0,True
0.0,48911.1791033835,False,1178779.8875400703,True,0.0,5671650.504983503,True,0.0,False
127679.081406574,0.0,True,2184392.9462533123,True,0.0,11142942.068574937,True,0.0,True
75122.50152740115,0.0,True,860507.446629946,True,0.0,8805856.995960113,True,0.0,True
0.0,62922.80018557662,False,2283034.4324520337,True,0.0,14597479.522491947,True,0.0,False
47828.3276949877,0.0,True,719419.0147281222,True,0.0,2483561.4904423463,True,0.0,True
0.0,9547.01660493996,False,1652527.750445615,True,0.0,28130243.485684518,True,0.0,False
115020.66675441539,0.0,True,4007495.0055891057,True,0.0,34405207.6763194,True,0.0,True
0.0,38035.2176346551,False,2151438.619599889,True,0.0,51017558.363375604,True,0.0,False
128115.484533359,0.0,True,2390782.3707541907,True,0.0,28672408.49139045,True,0.0,True
0.0,17271.861288860582,False,2326555.1549430657,True,0.0,55730279.574647635,True,0.0,False
31355.209351866804,0.0,True,2663935.1375642237,True,0.0,13559917.622055385,True,0.0,True
4695.48391374102,0.0,True,2674642.683121296,True,0.0,29464811.235205743,True,0.0,True
0.0,19962.35311872044,False,4214776.747365289,True,0.0,39548620.4779927,True,0.0,False
83515.03417857671,0.0,True,2615720.053057579,True,0.0,54435699.11250237,True,0.0,True
0.0,4896.460975490769,False,1650239.1595358835,True,0.0,27355771.605332017,True,0.0,False
18346.35452835548,0.0,True,1688422.722676635,True,0.0,29857487.164171375,True,0.0,True
81477.36969922822,0.0,True,1137154.12512952,True,0.0,14084378.289108874,True,0.0,True
18492.717393033832,0.0,True,819045.3676091771,True,0.0,3287804.749235017,True,0.0,True
98177.76218311391,0.0,True,2542258.1255500093,True,0.0,38135779.92895334,True,0.0,True
91060.0759087428,0.0,True,3140580.127990376,True,0.0,71496914.72604893,True,0.0,True
99576.75244666006,0.0,True,1367692.7435207404,True,0.0,11812258.354154732,True,0.0,True
